,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,best E
b16_sgd_cls1_box5.5_dfl2.5,0.79816,2.4675,1.9951,0.40972,0.48415,0.46184,0.37037,0.81255,2.0867,1.9262,0.43152
b16_sgd_cls1.5_box5.5_dfl3,0.8061,3.6908,2.413,0.45258,0.46796,0.46282,0.36839,0.83359,3.183,2.3506,0.4379375
b16_sgd_cls1_box5.5_dfl2,0.8026,2.4756,1.6047,0.46028,0.43946,0.45409,0.36064,0.82317,2.1138,1.5581,0.4286175
b16_sgd_cls1_box6.5_dfl2.5,0.94334,2.4827,1.992,0.40351,0.46852,0.4473,0.35919,0.97155,2.1407,1.9295,0.41963
b16_sgd_cls1_box6.5_dfl2,0.94538,2.499,1.6052,0.41697,0.46845,0.44682,0.35434,0.97468,2.1111,1.5615,0.421645
b16_sgd_cls1,1.0946,2.4923,1.2087,0.48127,0.40463,0.44537,0.35278,1.1371,2.1358,1.1697,0.4210125
b16_sgd_cls0.75,1.0883,1.8881,1.2036,0.39927,0.4835,0.43771,0.34717,1.1176,1.6147,1.1677,0.4169125
b16_sgd_cls1.5,1.1032,3.694,1.2088,0.42071,0.44545,0.43597,0.34489,1.1484,3.313,1.1862,0.411755
b16_sgd_cls1.5_box5.5_dfl2.5,1.1032,3.694,1.2088,0.42071,0.44545,0.43597,0.34489,1.1484,3.313,1.1862,0.411755
b16_sgd_cls0.5,1.0917,1.3071,1.2086,0.40339,0.42866,0.40969,0.32647,1.1133,1.1086,1.1689,0.3920525
b8_sgd_cls0.75,1.102,1.9914,1.2253,0.43408,0.39635,0.40152,0.31535,1.1138,1.6773,1.1819,0.386825
b8_sgd_cls0.5,1.1044,1.3781,1.2273,0.34753,0.42511,0.38264,0.29828,1.1075,1.1308,1.1784,0.36339
b16_adam_cls0.75,1.3592,3.2311,1.4455,0.22446,0.15647,0.13078,0.07966,1.3698,2.7459,1.4342,0.1478425
b16_adam_cls0.5,1.3595,2.2394,1.4554,0.31694,0.12957,0.12372,0.07692,1.3736,1.8825,1.4454,0.1617875
b16_RMSProp_cls0.5,2.0057,3.2682,1.9874,0.15001,0.02716,2.00E-05,1.00E-05,4.0705,6.3487,3.5195,0.0443
b16_RMSProp_cls0.75,1.9559,4.6764,1.8572,0,2.00E-05,0,0,4.0336,29.961,3.7351,0.000005
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
batch_size,opimizer,classiciation weight,box weight,distirbuted focal loss wieght,Val mAP50-95,,,,,,
16,SGD,1,5.5,2.5,0.37037,,,,,,
16,SGD,1.5,5.5,3,0.36839,,,,,,
16,SGD,1,5.5,2,0.36064,,,,,,
16,SGD,1,6.5,2.5,0.35919,,,,,,
16,SGD,1,6.5,2,0.35434,,,,,,
16,SGD,1,7.5,1.5,0.35278,,,,,,
16,SGD,0.75,7.5,1.5,0.34717,,,,,,
16,SGD,1.5,7.5,1.5,0.34489,,,,,,
16,SGD,1.5,5.5,2.5,0.34489,,,,,,
16,SGD,0.5,7.5,1.5,0.32647,,,,,,
8,SGD,0.75,7.5,1.5,0.31535,,,,,,
8,SGD,0.5,7.5,1.5,0.29828,,,,,,
16,Adam,0.75,7.5,1.5,0.07966,,,,,,
16,Adam,0.5,7.5,1.5,0.07692,,,,,,
16,RMSProp,0.5,7.5,1.5,1.00E-05,,,,,,
16,RMSProp,0.75,7.5,1.5,0,,,,,,
