                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.93984,                 5.5106,                 2.2073,                0.16807,                 0.2133,                0.14324,                0.09984,                0.90326,                 3.2913,                  2.044,               0.070039,               0.003329,               0.003329
                      1,                0.90492,                 3.9177,                  2.144,                0.25672,                0.21113,                0.14597,                0.09755,                0.98644,                 3.5104,                 2.2279,               0.040006,              0.0066294,              0.0066294
                      2,                0.99117,                 4.1426,                 2.2703,                0.18637,                0.21476,                0.12962,                0.07907,                 1.0592,                 3.8261,                 2.3732,              0.0099397,              0.0098967,              0.0098967
                      3,                 1.0472,                 4.3458,                 2.3783,                  0.182,                 0.2056,                0.12771,                0.07904,                 1.0768,                 3.9301,                 2.3687,              0.0098515,              0.0098515,              0.0098515
                      4,                 1.0212,                 4.0999,                 2.3395,                0.15978,                0.23351,                0.16256,                0.10599,                 1.0127,                 3.3275,                 2.2724,              0.0098515,              0.0098515,              0.0098515
                      5,                0.98891,                 3.8256,                 2.2863,                0.19533,                0.28033,                0.18543,                 0.1244,                0.99494,                 3.1459,                 2.2503,               0.009802,               0.009802,               0.009802
                      6,                  0.967,                 3.6442,                 2.2552,                0.23777,                0.28676,                0.20302,                0.13622,                0.99204,                 3.0489,                 2.2145,              0.0097525,              0.0097525,              0.0097525
                      7,                0.94979,                 3.4692,                 2.2232,                0.26214,                0.32014,                 0.2506,                0.17371,                0.95218,                 2.8787,                 2.1666,               0.009703,               0.009703,               0.009703
                      8,                  0.932,                 3.3905,                 2.2022,                0.26215,                0.32239,                0.24455,                 0.1738,                0.92553,                  2.795,                 2.1331,              0.0096535,              0.0096535,              0.0096535
                      9,                0.91534,                 3.2637,                 2.1756,                0.31944,                0.31335,                0.27068,                0.19887,                0.90776,                 2.7454,                 2.1032,               0.009604,               0.009604,               0.009604
                     10,                0.90104,                   3.15,                 2.1573,                0.38725,                0.36699,                0.32079,                0.23177,                0.89771,                 2.5318,                 2.0752,              0.0095545,              0.0095545,              0.0095545
                     11,                0.89245,                  3.067,                 2.1435,                0.31598,                0.37925,                0.32926,                0.24215,                0.90671,                 2.5479,                 2.0833,               0.009505,               0.009505,               0.009505
                     12,                0.88914,                 3.0183,                   2.14,                0.35181,                0.35964,                0.33169,                0.24353,                0.89371,                  2.537,                 2.0549,              0.0094555,              0.0094555,              0.0094555
                     13,                0.87729,                  2.949,                 2.1197,                0.36791,                0.39788,                0.36335,                0.27323,                0.87735,                 2.3848,                 2.0488,               0.009406,               0.009406,               0.009406
                     14,                 0.8753,                 2.8772,                 2.1071,                0.38606,                0.40178,                0.37861,                0.28526,                0.87389,                 2.3857,                 2.0311,              0.0093565,              0.0093565,              0.0093565
                     15,                0.86137,                 2.7833,                 2.0906,                0.40209,                0.41584,                0.40564,                 0.3103,                0.85983,                 2.3144,                 2.0139,               0.009307,               0.009307,               0.009307
                     16,                0.84624,                 2.7388,                 2.0778,                0.40493,                0.44079,                 0.4163,                0.31367,                0.85979,                 2.2968,                 2.0255,              0.0092575,              0.0092575,              0.0092575
                     17,                0.85086,                  2.673,                 2.0714,                0.43173,                0.43313,                0.43099,                0.32967,                 0.8521,                 2.2101,                 2.0029,               0.009208,               0.009208,               0.009208
                     18,                0.84157,                 2.6563,                  2.057,                0.39731,                0.43071,                0.41653,                0.32401,                 0.8543,                 2.2437,                 1.9944,              0.0091585,              0.0091585,              0.0091585
                     19,                0.83788,                 2.6001,                 2.0521,                0.47879,                0.46107,                0.45115,                0.35277,                0.85354,                  2.207,                 1.9938,               0.009109,               0.009109,               0.009109
                     20,                 0.8327,                 2.5649,                 2.0463,                0.47145,                0.43533,                0.45541,                0.35416,                 0.8422,                 2.1467,                 1.9878,              0.0090595,              0.0090595,              0.0090595
                     21,                0.83149,                 2.5215,                  2.038,                 0.4992,                0.48225,                0.48385,                 0.3814,                0.82535,                 2.1136,                 1.9672,                0.00901,                0.00901,                0.00901
                     22,                0.82056,                  2.451,                 2.0372,                0.48372,                0.46889,                0.48626,                 0.3829,                0.82888,                  2.042,                 1.9696,              0.0089605,              0.0089605,              0.0089605
                     23,                0.81831,                 2.4087,                 2.0221,                0.47416,                0.50836,                0.49442,                0.39024,                0.82564,                 2.0259,                 1.9647,               0.008911,               0.008911,               0.008911
                     24,                0.81206,                 2.3903,                 2.0204,                0.54588,                0.49119,                0.52737,                0.41859,                0.82325,                 1.9955,                 1.9668,              0.0088615,              0.0088615,              0.0088615
                     25,                0.81304,                 2.3277,                 2.0039,                 0.5785,                 0.4974,                0.53716,                0.42656,                0.82214,                 1.9539,                  1.962,               0.008812,               0.008812,               0.008812
                     26,                0.80468,                 2.3165,                 2.0124,                0.53528,                0.49365,                0.52743,                0.42544,                0.81075,                 1.9734,                 1.9341,              0.0087625,              0.0087625,              0.0087625
                     27,                0.79616,                  2.255,                 1.9922,                 0.5768,                0.50938,                0.55504,                 0.4473,                 0.8119,                 1.9461,                 1.9365,               0.008713,               0.008713,               0.008713
                     28,                0.79238,                 2.2684,                 1.9915,                0.55669,                0.52857,                0.56905,                0.45982,                0.80963,                 1.8949,                 1.9339,              0.0086635,              0.0086635,              0.0086635
                     29,                0.78554,                 2.2088,                 1.9839,                0.57693,                0.54616,                0.57627,                0.46633,                0.81178,                  1.853,                  1.937,               0.008614,               0.008614,               0.008614
                     30,                0.79721,                 2.2009,                 1.9842,                0.61287,                0.53386,                0.58489,                0.47106,                0.80789,                 1.8485,                 1.9323,              0.0085645,              0.0085645,              0.0085645
                     31,                0.78595,                 2.1582,                 1.9755,                0.63907,                0.56664,                0.61702,                0.49989,                 0.8025,                 1.7839,                 1.9228,               0.008515,               0.008515,               0.008515
                     32,                 0.7808,                 2.1267,                  1.977,                0.65347,                0.53979,                0.61445,                0.50493,                 0.7876,                 1.7725,                 1.9056,              0.0084655,              0.0084655,              0.0084655
                     33,                 0.7787,                 2.0909,                  1.974,                  0.669,                0.56115,                0.62702,                 0.5172,                0.79347,                 1.7521,                 1.9126,               0.008416,               0.008416,               0.008416
                     34,                0.77652,                  2.088,                 1.9693,                0.63785,                0.58899,                0.62849,                0.51511,                0.78999,                 1.7673,                 1.9171,              0.0083665,              0.0083665,              0.0083665
                     35,                0.77528,                 2.0347,                 1.9604,                0.65271,                0.59768,                0.63446,                0.52365,                0.78766,                 1.7181,                 1.9021,               0.008317,               0.008317,               0.008317
                     36,                0.77311,                  2.046,                  1.961,                0.67388,                0.57604,                0.64746,                0.53306,                0.78573,                 1.7054,                  1.909,              0.0082675,              0.0082675,              0.0082675
                     37,                0.77307,                 2.0043,                 1.9591,                0.69468,                0.58561,                0.65488,                0.54387,                0.78488,                 1.6868,                 1.9028,               0.008218,               0.008218,               0.008218
                     38,                0.76508,                 1.9598,                 1.9511,                0.70275,                0.58419,                0.66122,                0.54885,                0.78205,                  1.679,                 1.8904,              0.0081685,              0.0081685,              0.0081685
                     39,                0.76193,                  1.955,                 1.9485,                0.68322,                0.60043,                0.65846,                0.54516,                0.78618,                 1.6794,                  1.903,               0.008119,               0.008119,               0.008119
                     40,                0.75527,                 1.9272,                 1.9406,                0.69697,                0.60253,                0.67022,                0.55735,                0.78335,                 1.6599,                  1.906,              0.0080695,              0.0080695,              0.0080695
                     41,                0.75868,                 1.9133,                 1.9394,                0.70194,                0.60815,                0.67307,                0.56029,                0.77925,                  1.657,                  1.896,                0.00802,                0.00802,                0.00802
                     42,                0.75556,                 1.8828,                 1.9332,                0.72311,                0.58295,                0.66654,                0.55649,                0.77871,                 1.6412,                 1.8988,              0.0079705,              0.0079705,              0.0079705
                     43,                0.75607,                 1.8859,                 1.9357,                0.67841,                0.62627,                0.68228,                0.57236,                0.77864,                 1.6094,                 1.8916,               0.007921,               0.007921,               0.007921
                     44,                 0.7507,                 1.8655,                 1.9254,                0.69727,                0.62129,                0.69091,                0.57941,                0.77447,                   1.59,                 1.8836,              0.0078715,              0.0078715,              0.0078715
                     45,                0.75394,                 1.8397,                 1.9228,                0.73285,                0.61133,                0.69414,                0.57686,                0.77671,                 1.5818,                 1.8882,               0.007822,               0.007822,               0.007822
                     46,                0.74909,                 1.8185,                 1.9169,                0.72269,                0.63243,                0.69963,                 0.5858,                0.77166,                 1.5631,                 1.8808,              0.0077725,              0.0077725,              0.0077725
                     47,                0.74852,                 1.8152,                 1.9124,                0.71977,                0.64652,                0.70466,                0.58822,                0.77002,                 1.5496,                 1.8797,               0.007723,               0.007723,               0.007723
                     48,                0.73597,                 1.7802,                 1.9181,                0.75318,                0.62191,                0.70887,                0.59339,                0.76886,                 1.5524,                  1.876,              0.0076735,              0.0076735,              0.0076735
                     49,                0.73978,                 1.7888,                 1.9126,                0.76059,                0.62964,                0.71464,                0.60217,                0.76829,                  1.547,                 1.8772,               0.007624,               0.007624,               0.007624
