                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.3612,                  3.116,                 1.3682,                0.11143,                0.16664,                0.10787,                0.06599,                 1.3352,                 1.9307,                 1.2995,               0.070039,               0.003329,               0.003329
                      1,                 1.3135,                 2.1699,                 1.3204,                 0.2497,                0.17443,                 0.1277,                0.07779,                 1.4384,                 1.8628,                 1.4015,               0.039973,              0.0065964,              0.0065964
                      2,                 1.4076,                 2.2234,                 1.3771,                0.26836,                0.14554,                0.09966,                0.05709,                 1.5588,                 2.0909,                  1.501,              0.0098407,              0.0097978,              0.0097978
                      3,                 1.4725,                 2.2934,                 1.4264,                0.31752,                0.17072,                0.11302,                0.06594,                 1.5242,                 1.9785,                 1.4796,               0.009703,               0.009703,               0.009703
                      4,                  1.426,                 2.1555,                  1.399,                0.14917,                0.20378,                0.13086,                0.08052,                 1.4458,                 1.8319,                 1.4038,               0.009703,               0.009703,               0.009703
                      5,                 1.3871,                 2.0405,                 1.3757,                0.20111,                0.20948,                0.14821,                0.09571,                 1.4047,                 1.7403,                  1.383,               0.009604,               0.009604,               0.009604
                      6,                 1.3565,                 1.9562,                  1.358,                0.20887,                0.24536,                0.16724,                0.10816,                 1.3971,                 1.6347,                 1.3514,               0.009505,               0.009505,               0.009505
                      7,                 1.3326,                 1.8679,                 1.3349,                0.25357,                0.23308,                0.17245,                0.11177,                 1.4057,                 1.7087,                 1.3565,               0.009406,               0.009406,               0.009406
                      8,                 1.3026,                 1.8417,                 1.3214,                0.19465,                0.28189,                0.19679,                0.13632,                 1.3041,                  1.528,                 1.3016,               0.009307,               0.009307,               0.009307
                      9,                 1.2871,                 1.7582,                 1.3096,                0.26406,                0.29428,                0.21214,                0.14888,                 1.2915,                 1.5025,                 1.2842,               0.009208,               0.009208,               0.009208
                     10,                 1.2636,                 1.7288,                 1.2962,                0.25662,                0.30162,                0.22253,                0.15645,                 1.2839,                 1.4526,                 1.2694,               0.009109,               0.009109,               0.009109
                     11,                 1.2493,                  1.681,                 1.2848,                0.20866,                0.33688,                0.23625,                0.16734,                 1.2524,                 1.4163,                  1.251,                0.00901,                0.00901,                0.00901
                     12,                 1.2377,                  1.661,                 1.2805,                0.26311,                 0.3292,                0.24342,                0.17504,                 1.2522,                 1.4105,                 1.2535,               0.008911,               0.008911,               0.008911
                     13,                 1.2246,                 1.6223,                 1.2687,                0.26874,                0.31663,                0.26758,                0.19234,                 1.2324,                 1.3394,                 1.2377,               0.008812,               0.008812,               0.008812
                     14,                 1.2249,                  1.586,                 1.2609,                0.26403,                0.34096,                0.29098,                0.21208,                 1.2404,                 1.3184,                 1.2284,               0.008713,               0.008713,               0.008713
                     15,                 1.1981,                 1.5406,                 1.2476,                0.31367,                0.32748,                0.29647,                0.21672,                 1.2285,                  1.308,                 1.2219,               0.008614,               0.008614,               0.008614
                     16,                 1.1839,                 1.5259,                 1.2434,                0.32819,                0.33333,                0.31585,                0.23306,                 1.2288,                 1.2783,                 1.2273,               0.008515,               0.008515,               0.008515
                     17,                  1.188,                 1.4853,                 1.2376,                0.31983,                0.37126,                0.32291,                0.23971,                  1.194,                 1.2542,                 1.1989,               0.008416,               0.008416,               0.008416
                     18,                 1.1745,                 1.4725,                 1.2333,                0.33292,                0.37152,                0.32722,                0.24569,                 1.1936,                 1.2371,                 1.2065,               0.008317,               0.008317,               0.008317
                     19,                 1.1642,                 1.4403,                 1.2222,                 0.3412,                 0.4288,                0.37054,                0.28141,                 1.1887,                 1.2203,                 1.2044,               0.008218,               0.008218,               0.008218
                     20,                 1.1614,                 1.4269,                 1.2218,                0.34932,                0.39748,                0.36565,                0.27914,                 1.1864,                 1.1924,                 1.2013,               0.008119,               0.008119,               0.008119
                     21,                  1.156,                 1.4105,                 1.2193,                0.44933,                0.37379,                0.37896,                0.28924,                 1.1659,                 1.1687,                 1.1852,                0.00802,                0.00802,                0.00802
                     22,                  1.144,                 1.3705,                 1.2132,                0.38669,                0.42858,                0.38968,                0.30132,                 1.1607,                 1.1428,                  1.182,               0.007921,               0.007921,               0.007921
